N	Terminals										Jump	Accept	Stack	Return	Error
0	void int										2		0		0		0		0
1	eps												-1		0		0		0		1
2	void int										9		0		1		0		1
3	main											4		1		0		0		1
4	(												5		1		0		0		1
5	)												6		1		0		0		1
6	{												7		1		0		0		1
7	int var_name const - ( }						13		0		1		0		1
8	}												-1		1		0		0		1
9	void											11		0		0		0		0
10	int												12		0		0		0		1
11	void											-1		1		0		1		1
12	int												-1		1		0		1		1
13	int												16		0		0		0		0
14	- ( const var_name								19		0		0		0		0
15	}												-1		0		0		1		1
16	int												22		0		1		0		1
17	;												18		1		0		0		1
18	int var_name const - ( }						13		0		0		0		1
19	var_name const - (								37		0		1		0		1
20	;												21		1		0		0		1
21	int var_name const - ( }						13		0		0		0		1
22	int												23		0		0		0		1
23	int												24		1		0		0		1
24	var_name										25		0		0		0		1
25	var_name										26		0		0		0		1
26	var_name										87		0		1		0		1
27	, ; =											29		0		1		0		1
28	, ;												33		0		0		0		1
29	=												31		0		0		0		0
30	, ;												-1		0		0		1		1
31	=												32		1		0		0		1
32	const var_name - (								66		0		0		0		1
33	,												35		0		0		0		0
34	;												-1		0		0		1		1
35	,												36		1		0		0		1
36	var_name										25		0		0		0		1
37	var_name										41		0		0		0		0
38	const											58		0		0		0		0
39	(												60		0		0		0		0
40	-												64		0		0		0		1
41	var_name										87		0		1		0		1
42	+ - * / < > == != ++ -- <= >= = += -= *= /=		43		0		0		0		1
43	+ - * / < > == != ++ -- <= >=					45		0		0		0		0
44	= += -= *= /=									46		0		0		0		1
45	+ - * / < > == != ++ -- <= >=					79		0		0		0		1
46	= += -= *= /=									48		0		1		0		1
47	const var_name - (								66		0		0		0		1
48	=												53		0		0		0		0
49	+=												54		0		0		0		0
50	-=												55		0		0		0		0
51	*=												56		0		0		0		0
52	/=												57		0		0		0		1
53	=												-1		1		0		1		1
54	+=												-1		1		0		1		1
55	-=												-1		1		0		1		1
56	*=												-1		1		0		1		1
57	/=												-1		1		0		1		1
58	const											59		1		0		0		1
59	+ - * / < > == != ++ -- <= >=					79		0		0		0		1
60	(												61		1		0		0		1
61	- const var_name (								66		0		1		0		1
62	)												63		1		0		0		1
63	+ - * / < > == != ++ -- <= >= ; )				79		0		0		0		1
64	-												65		1		0		0		1
65	const var_name (								71		0		0		0		1
66	-												68		0		0		0		0
67	( const var_name								70		0		0		0		1
68	-												69		1		0		0		1
69	( const var_name								71		0		0		0		1
70	( const var_name								71		0		0		0		1
71	var_name const									73		0		0		0		0
72	(												75		0		0		0		1
73	var_name const									83		0		1		0		1
74	+ - * / < > == != ++ -- <= >= ; )				79		0		0		0		1
75	(												76		1		0		0		1
76	const var_name - (								66		0		1		0		1
77	)												78		1		0		0		1
78	+ - * / < > == != ++ -- <= >= ; , )				79		0		0		0		1
79	+ - * / < > == != ++ -- <= >=					81		0		0		0		0
80	, ; )											-1		0		0		1		1
81	+ - * / < > == != ++ -- <= >=					89		0		1		0		1
82 ( const var_name									71		0		0		0		1
83	var_name										85		0		0		0		0
84	const											86		0		0		0		1
85	var_name										87		0		0		0		1
86	const											-1		1		0		1		1
87	var_name										88		0		0		0		1
88	var_name										-1		1		0		1		1
89	+												101		0		0		0		0
90	-												102		0		0		0		0
91	*												103		0		0		0		0
92	/												104		0		0		0		0
93	<												105		0		0		0		0
94	>												106		0		0		0		0
95	==												107		0		0		0		0
96	!=												108		0		0		0		0
97	++												109		0		0		0		0
98	--												110		0		0		0		0
99	<=												111		0		0		0		0
100	>=												112		0		0		0		1
101	+												-1		1		0		1		1
102	-												-1		1		0		1		1
103	*												-1		1		0		1		1
104	/												-1		1		0		1		1
105	<												-1		1		0		1		1
106	>												-1		1		0		1		1
107	==												-1		1		0		1		1
108	!=												-1		1		0		1		1
109	++												-1		1		0		1		1
110	--												-1		1		0		1		1
111	<=												-1		1		0		1		1
112	>=												-1		1		0		1		1
